time,open,high,low,close,volume
0,98.21,98.62,97.11,97.22,4691
1,98.72,99.28,98.09,98.43,1212
2,97.07,97.4,96.43,96.68,1006
3,98.3,99.83,97.92,98.96,1027
4,98.22,99.12,98.0,98.09,1582
5,96.6,97.87,96.17,97.57,2953
6,96.64,98.22,96.29,97.45,4282
7,97.38,98.79,96.81,98.15,4934
8,97.41,98.18,96.65,97.17,3805
9,97.32,98.63,96.49,98.03,3132
10,98.71,98.74,97.65,98.4,1743
11,99.31,99.8,98.04,98.31,2371
12,97.65,97.73,96.94,97.39,3347
13,98.51,99.09,96.52,97.35,2488
14,95.4,95.63,94.51,95.04,3964
15,96.34,96.63,94.79,95.28,4130
16,95.8,96.29,94.99,95.16,3197
17,94.94,95.59,94.81,95.54,1791
18,93.63,95.03,92.67,94.35,3597
19,94.03,94.09,92.73,93.09,1363
20,91.42,93.17,91.04,92.37,3238
21,93.15,94.14,92.66,92.92,2935
22,91.05,91.61,91.03,91.2,3605
23,93.08,94.42,92.36,94.0,3781
24,92.58,93.73,91.75,92.98,3570
25,91.21,91.79,91.06,91.26,3686
26,92.35,93.18,91.48,91.84,3191
27,93.74,94.41,92.94,93.78,2582
28,93.51,94.55,93.49,94.09,2842
29,95.58,97.13,94.91,96.15,2244
30,95.87,96.69,95.54,96.53,3116
31,96.59,97.09,95.17,95.72,2511
32,94.62,94.88,93.69,94.78,1996
33,93.6,94.0,92.23,93.17,1329
34,94.99,95.77,94.1,95.01,1070
35,93.78,94.02,93.47,93.94,2397
36,94.16,95.05,92.34,93.28,1554
37,94.42,95.15,93.61,94.38,2052
38,95.24,96.89,94.9,96.03,4745
39,94.92,95.05,94.29,94.93,4679
40,96.1,97.31,95.76,96.34,3394
41,94.83,95.69,93.4,93.76,3740
42,95.18,95.4,94.29,94.74,4323
43,95.75,96.7,94.78,96.52,1255
44,97.89,98.16,96.67,97.59,4507
45,97.83,98.75,97.39,97.51,2087
46,97.52,97.83,97.14,97.78,3400
47,97.33,97.9,95.42,96.39,2329
48,95.36,96.2,94.66,95.23,2409
49,94.22,95.18,93.31,94.68,2126
50,94.03,94.15,92.52,92.94,3033
51,93.88,93.92,92.83,93.82,1579
52,93.13,94.07,92.22,92.81,1131
53,92.67,94.51,91.89,93.63,2182
54,94.45,95.43,93.72,95.41,1932
55,96.16,96.42,94.95,95.11,2704
56,94.55,94.56,92.78,93.45,1811
57,91.64,92.46,90.71,91.7,4439
58,90.47,91.35,90.25,90.47,3161
59,88.84,89.38,88.42,88.7,1799
60,88.79,90.43,88.39,89.8,4267
61,90.96,91.53,89.27,90.03,2785
62,90.1,90.23,88.34,89.27,1988
63,91.16,91.37,90.14,90.55,1105
64,88.59,89.51,88.55,88.96,4856
65,87.95,89.73,87.25,88.88,4797
66,87.62,88.29,85.87,86.69,1868
67,86.75,88.14,86.29,87.35,2696
68,86.24,87.06,85.68,86.63,2597
69,84.94,86.78,84.65,85.91,2948
70,86.83,87.95,86.37,87.82,4531
71,87.23,87.95,86.88,87.51,2485
72,86.36,87.52,85.53,87.41,4084
73,85.79,86.92,85.01,86.19,1843
74,88.02,88.15,86.78,87.25,4487
75,88.7,89.5,87.56,87.89,1402
76,86.48,87.42,85.72,86.38,1244
77,84.6,85.3,83.54,83.68,1168
78,83.11,85.03,82.3,84.21,1963
79,85.35,85.49,84.29,84.97,2194
80,84.28,85.06,83.22,84.04,1237
81,84.24,84.49,83.07,83.3,3282
82,84.47,85.76,83.71,85.16,4520
83,86.67,87.69,85.69,86.77,3274
84,86.24,87.39,85.37,86.55,3468
85,85.7,86.55,84.46,85.26,3074
86,86.29,86.72,85.57,86.64,3498
87,85.95,87.54,84.99,86.81,3187
88,85.61,86.0,85.4,85.93,2467
89,85.64,86.29,85.04,85.59,3230
90,84.25,84.98,82.35,83.11,4690
91,83.61,83.8,82.62,82.8,1558
92,84.8,85.32,83.91,85.05,1301
93,84.49,85.85,84.24,85.49,1379
94,85.97,86.57,85.85,86.02,3191
95,84.5,85.79,83.7,85.5,4548
96,86.55,87.37,86.32,86.93,1383
97,88.29,89.51,87.85,88.57,2590
98,89.84,91.13,89.17,90.77,4359
99,92.38,92.8,91.87,92.11,1017
100,93.34,94.19,92.28,92.46,2092
101,92.14,93.2,91.84,92.81,4578
102,90.9,91.99,90.33,91.6,3613
103,92.3,93.69,91.99,92.81,3242
104,93.95,93.97,93.42,93.56,2166
105,95.08,95.3,94.32,94.36,1268
106,95.83,96.7,95.16,96.55,3252
107,95.44,96.68,94.47,96.23,2641
108,96.51,97.7,95.97,97.27,2495
109,95.57,96.58,95.13,96.36,4845
110,96.5,96.53,95.37,96.05,1639
111,97.47,98.51,97.42,97.53,2686
112,98.72,100.25,98.39,99.64,1747
113,100.21,100.64,99.3,99.98,1357
114,98.16,98.96,97.18,97.32,3891
115,97.97,98.48,96.78,97.49,2161
116,97.13,97.66,95.72,96.38,3251
117,94.74,95.6,94.16,95.59,3905
118,94.17,95.74,93.57,94.79,2859
119,96.43,97.23,95.27,95.82,1120
120,95.31,96.52,94.66,96.05,2164
121,97.38,99.01,96.73,98.02,4976
122,97.37,97.75,95.99,96.58,3010
123,97.79,99.06,96.88,98.4,3692
124,98.87,99.25,98.09,98.22,3783
125,99.08,100.2,98.55,99.71,1949
126,101.23,102.43,100.91,101.94,3476
127,102.46,103.37,101.5,102.26,4973
128,101.33,101.93,101.23,101.75,3919
129,103.12,104.29,102.97,103.57,4822
130,101.74,102.39,100.2,100.89,2635
131,101.87,102.43,100.85,101.1,4902
132,101.71,102.85,101.04,102.37,2927
133,100.99,101.67,99.99,100.63,1920
134,98.9,100.37,98.5,99.49,1193
135,100.04,101.61,99.06,100.92,2816
136,100.77,101.48,99.49,99.84,2312
137,100.95,102.63,100.28,102.08,3302
138,101.99,103.22,101.64,102.63,1956
139,100.76,101.21,99.05,99.87,4426
140,99.74,100.09,98.79,100.08,4805
141,98.58,100.02,98.26,99.67,1292
142,99.05,99.88,98.92,99.76,3118
143,97.8,98.22,97.06,97.76,1262
144,98.96,99.19,97.5,98.2,4019
145,98.15,98.51,96.96,97.9,1419
146,96.69,96.81,95.53,95.7,1337
147,97.16,97.81,96.06,96.98,4805
148,97.9,99.69,97.48,98.98,1384
149,100.72,102.19,99.89,101.79,3996
150,101.12,101.46,100.58,100.76,1110
151,100.54,100.57,100.33,100.54,2175
152,99.8,100.12,98.82,99.29,1927
153,99.43,100.92,98.59,100.31,1851
154,99.63,100.67,98.78,100.11,4729
155,101.22,101.7,100.16,100.49,3565
156,100.28,101.28,99.56,101.01,2201
157,99.33,99.8,98.98,99.08,4569
158,99.52,100.08,98.48,99.09,1529
159,98.02,98.72,96.17,96.96,2819
160,97.67,97.91,96.83,97.12,4721
161,97.21,98.6,96.47,98.19,1339
162,98.52,99.0,97.82,98.63,4839
163,97.17,97.87,96.25,96.38,4951
164,98.24,98.4,97.32,97.77,3526
165,96.7,97.76,96.11,97.46,1201
166,98.46,99.38,97.81,98.0,2832
167,96.11,96.44,94.62,95.29,1660
168,94.59,94.63,93.42,93.63,1715
169,95.28,95.38,94.57,95.13,1207
170,95.55,95.65,94.03,94.92,1972
171,95.61,96.37,94.24,94.82,4022
172,94.42,94.9,92.84,93.27,3971
173,93.68,94.81,93.45,94.67,4047
174,95.36,95.5,94.54,95.22,3876
175,96.99,97.52,96.03,96.27,4670
176,97.24,97.87,95.57,96.27,3043
177,97.15,98.12,96.92,97.45,3612
178,98.65,99.79,97.94,99.36,4552
179,97.67,98.23,96.85,97.11,4954
180,95.72,95.91,94.35,95.01,4669
181,93.37,94.38,93.3,93.4,2904
182,92.7,93.24,91.57,91.67,2846
183,92.22,92.55,90.92,91.36,4065
184,92.28,93.24,91.79,93.13,2436
185,92.62,93.59,90.76,91.72,3876
186,90.73,91.0,90.72,90.91,3923
187,90.3,91.55,90.15,91.1,1984
188,89.82,90.45,89.36,90.24,1588
189,91.5,92.17,90.7,91.92,2523
190,91.43,92.01,90.02,90.85,4982
191,91.93,92.44,91.27,92.01,3895
